,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MSinceMostRecentDelq=-7,MSinceMostRecentInqexcl7days=-7,MSinceOldestTradeOpen=-8,MSinceMostRecentDelq=-8,MSinceMostRecentInqexcl7days=-8,NetFractionRevolvingBurden=-8,NetFractionInstallBurden=-8,NumRevolvingTradesWBalance=-8,NumInstallTradesWBalance=-8,NumBank2NatlTradesWHighUtilization=-8,PercentTradesWBalance=-8
0,70.0,206.0,3.0,96.0,18.0,3.0,0.0,59.0,11.0,4.0,5.0,22.0,1.0,41.0,0.0,2.0,2.0,10.0,37.0,4.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,42.0,179.0,1.0,72.0,50.0,9.0,6.0,69.0,0.0,0.0,2.0,62.0,5.0,53.0,2.4847233691164328,2.0,2.0,92.0,94.0,4.0,5.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,74.0,219.0,3.0,90.0,42.0,0.0,0.0,96.0,6.0,4.0,6.0,49.0,3.0,33.0,1.0,6.0,5.0,19.0,59.0,4.0,4.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,73.0,445.0,15.0,125.0,12.0,0.0,0.0,83.0,21.0,6.0,6.0,12.0,0.0,42.0,0.0,1.0,1.0,55.0,68.49310277831746,4.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,88.0,320.0,4.0,93.0,52.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,55.0,3.0,22.0,6.0,0.0,0.0,3.0,71.0,3.0,1.0,0.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,61.0,187.0,8.0,46.0,26.0,4.0,0.0,88.0,38.0,6.0,5.0,33.0,1.0,36.0,0.0,5.0,5.0,60.0,77.0,7.0,2.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,74.0,155.0,11.0,68.0,18.0,0.0,0.0,91.0,7.0,4.0,6.0,23.0,2.0,26.0,0.0,0.0,0.0,1.0,68.49310277831746,3.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,60.0,198.0,19.0,57.0,19.0,0.0,0.0,90.0,6.0,4.0,6.0,21.0,0.0,62.0,2.4847233691164328,0.0,0.0,71.0,71.0,6.0,3.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,79.0,79.0,1.0,83.0,26.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,1.0,1.0,37.0,0.0,2.0,2.0,36.0,34.0,2.0,2.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,65.0,321.0,6.0,114.0,27.0,1.0,1.0,82.0,17.0,5.0,3.0,28.0,3.0,32.0,0.0,0.0,0.0,66.0,68.49310277831746,6.0,1.0,1.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,72.0,114.0,3.0,61.0,17.0,1.0,0.0,72.0,7.0,4.0,5.0,18.0,1.0,28.0,0.0,0.0,0.0,0.0,100.0,2.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,73.0,347.0,8.0,120.0,37.0,1.0,1.0,95.0,22.0,6.0,4.0,53.0,2.0,46.0,0.0,1.0,1.0,66.0,84.0,5.0,2.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,65.0,237.0,0.0,90.0,42.0,0.0,0.0,98.0,43.0,6.0,6.0,62.0,2.0,58.0,2.4847233691164328,3.0,3.0,60.0,90.0,4.0,4.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,71.0,288.0,8.0,93.0,30.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,51.0,2.0,30.0,2.4847233691164328,0.0,0.0,73.0,68.49310277831746,9.0,2.4912524298805887,5.0,69.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
14,72.0,241.0,4.0,64.0,14.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,15.0,3.0,43.0,2.4847233691164328,1.0,1.0,69.0,96.0,3.0,2.0,2.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,63.0,54.0,25.0,40.0,2.0,0.0,0.0,50.0,22.0,6.0,6.0,2.0,0.0,100.0,2.4847233691164328,4.0,4.0,34.99741802220501,68.49310277831746,4.104815864022663,1.0,1.1065750471571005,100.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
16,61.0,223.0,5.0,60.0,11.0,0.0,0.0,91.0,24.0,6.0,6.0,8.0,1.0,9.0,7.0,0.0,0.0,38.0,68.49310277831746,4.0,1.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,85.0,248.0,2.0,103.0,27.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,29.0,3.0,31.0,1.0,2.0,2.0,16.0,68.49310277831746,4.0,1.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,75.0,248.0,1.0,103.0,14.0,0.0,0.0,88.0,3.0,4.0,6.0,16.0,1.0,13.0,0.0,1.0,1.0,2.0,68.49310277831746,3.0,1.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,82.0,367.0,1.0,90.0,26.0,0.0,0.0,96.0,40.0,6.0,6.0,28.0,3.0,14.0,3.0,2.0,2.0,1.0,68.49310277831746,5.0,2.4912524298805887,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20,87.0,306.0,17.0,128.0,9.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,9.0,0.0,33.0,0.0,0.0,0.0,11.0,68.49310277831746,2.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,70.0,131.0,1.0,75.0,19.0,0.0,0.0,95.0,0.0,4.0,6.0,20.0,2.0,25.0,0.0,5.0,5.0,15.0,46.0,4.0,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,72.0,218.0,9.0,72.0,25.0,1.0,0.0,88.0,33.0,6.0,5.0,27.0,1.0,52.0,0.0,0.0,0.0,82.0,86.0,2.0,3.0,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,61.0,328.0,3.0,98.0,15.0,1.0,1.0,94.0,33.0,0.0,6.0,16.0,2.0,31.0,14.0,0.0,0.0,48.0,43.0,2.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,59.0,287.0,6.0,101.0,36.0,1.0,1.0,83.0,1.0,4.0,6.0,36.0,2.0,22.0,0.0,1.0,1.0,19.0,62.0,8.0,4.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,60.0,142.0,18.0,82.0,12.0,3.0,2.0,59.0,5.0,4.0,4.0,18.0,0.0,47.0,0.0,2.0,2.0,2.0,19.0,1.0,2.0,1.1065750471571005,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,86.0,372.0,14.0,119.0,23.0,0.0,0.0,96.0,49.0,6.0,6.0,7.0,0.0,26.0,2.4847233691164328,0.0,0.0,8.0,68.49310277831746,2.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
27,57.0,35.0,7.0,16.0,10.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,10.0,4.0,30.0,0.0,2.0,2.0,81.0,85.0,6.0,2.0,2.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,89.0,378.0,7.0,141.0,21.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,10.0,1.0,24.0,15.0,0.0,0.0,2.0,6.0,1.0,2.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,91.0,166.0,35.0,121.0,10.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,10.0,0.0,40.0,2.4847233691164328,0.0,0.0,10.0,38.0,1.0,3.0,0.0,67.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,72.0,262.0,2.0,82.0,32.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,34.0,5.0,35.0,2.0,1.0,1.0,93.0,99.0,8.0,3.0,4.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,87.0,229.0,4.0,100.0,22.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,25.0,2.0,44.0,1.0,2.0,2.0,16.0,83.0,5.0,2.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,64.0,98.0,4.0,49.0,10.0,0.0,0.0,90.0,45.0,6.0,6.0,10.0,4.0,30.0,0.0,1.0,1.0,83.0,68.49310277831746,4.0,1.0,3.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,75.0,387.0,2.0,101.0,32.0,1.0,0.0,95.0,21.0,6.0,6.0,37.0,2.0,49.0,3.0,19.0,19.0,0.0,5.0,1.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,72.0,293.0,7.0,101.0,18.0,0.0,0.0,95.0,22.0,6.0,6.0,19.0,3.0,21.0,0.0,0.0,0.0,32.0,68.49310277831746,5.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,78.0,167.0,8.0,84.0,29.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,43.0,3.0,30.0,0.0,1.0,1.0,24.0,84.0,6.0,4.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,60.0,77.0,20.0,45.0,8.0,1.0,0.0,80.0,4.0,4.0,5.0,10.0,0.0,90.0,0.0,2.0,2.0,41.0,75.0,1.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,83.0,476.0,5.0,125.0,28.0,1.0,0.0,90.0,33.0,6.0,5.0,30.0,3.0,23.0,0.0,1.0,1.0,5.0,68.49310277831746,2.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,89.0,207.0,121.0,150.0,7.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,7.0,0.0,14.0,2.4847233691164328,0.0,0.0,2.0,68.49310277831746,2.0,2.4912524298805887,0.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
39,83.0,267.0,19.0,90.0,16.0,0.0,0.0,94.0,37.0,6.0,6.0,16.0,0.0,19.0,16.0,0.0,0.0,4.0,60.0,1.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,72.0,201.11119781506048,13.0,118.0,19.0,0.0,0.0,100.0,21.751674522451005,7.0,8.0,20.0,0.0,35.0,2.4847233691164328,7.0,7.0,50.0,68.49310277831746,5.0,2.4912524298805887,1.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
